Data Year,Region Name,AMP Resistance Percentage,AUG Resistance Percentage,AXO Resistance Percentage,CHL Resistance Percentage,CIP Resistance Percentage,COT Resistance Percentage,FIS Resistance Percentage,FOX Resistance Percentage,GEN Resistance Percentage,NAL Resistance Percentage,STR Resistance Percentage,TET Resistance Percentage,Total Resistance Percentage
2003,Region 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11
2003,Region 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Region 2,6.9,0.0,0.0,0.0,0.0,0.0,3.45,0.0,3.45,0.0,6.9,0.0,20.700000000000003
2003,Region 3,2.08,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,2.08,8.33
2003,Region 4,7.69,0.0,0.0,2.56,0.0,2.56,0.0,0.0,0.0,7.69,2.56,2.56,25.619999999999997
2003,Region 5,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,7.27,0.0,1.82,10.91
2003,Region 6,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,30.0
2003,Region 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,14.29
2003,Region 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Region 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,3.23
2004,Region 1,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,4.76,4.76,14.28
2004,Region 10,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,11.11
2004,Region 2,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,5.88,14.7
2004,Region 3,5.66,0.0,0.0,0.0,1.89,0.0,1.89,0.0,0.0,7.55,1.89,1.89,20.77
2004,Region 4,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,5.56,2.78,19.45
2004,Region 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,1.54,4.62
2004,Region 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11
2004,Region 7,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,33.34
2004,Region 8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,10.0,60.0
2004,Region 9,7.14,0.0,0.0,3.57,0.0,0.0,7.14,0.0,3.57,10.71,7.14,7.14,46.41
2005,Region 1,0.0,0.0,0.0,0.0,0.0,3.23,3.23,0.0,0.0,6.45,0.0,3.23,16.14
2005,Region 10,14.29,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,7.14,7.14,7.14,49.99
2005,Region 2,8.47,3.39,0.0,0.0,0.0,1.69,1.69,3.39,1.69,3.39,0.0,5.08,28.79
2005,Region 3,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,1.72,0.0,6.89
2005,Region 4,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,1.72,5.17,1.72,3.45,13.780000000000001
2005,Region 5,1.56,1.56,1.56,1.56,0.0,0.0,3.12,1.56,1.56,4.69,1.56,3.12,21.85
2005,Region 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
