Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info On Hospitalizations,Deaths,Info On Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type
1983,7,Washington,Water,Salmonella enterica,Enteritidis,Confirmed,Restaurant,750,18,,0,,,,,Drinking water,Community,
1998,8,Texas,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,11,11,16,0,16,"ice cream, homemade",,Multiple,,,
1998,12,Pennsylvania,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,21,7,33,0,33,"eggs, unspecified;potato stuffings",,Multiple,,,
1998,6,Pennsylvania,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,6,1,3,0,3,"eggs, other;ice cream, unspecified",,Multiple,,,
1998,2,Connecticut,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,10,,,,,"french toast, unspecified;shell eggs, scrambled hard",egg,Eggs,,,
1998,7,California,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,4,2,,0,,chicken,,Chicken,,,
1998,11,Pennsylvania,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,12,3,14,0,14,"stuffing, unspecified",,Multiple,,,
1998,8,California,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,4,0,2,0,2,,,,,,
1998,11,California,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,10,,,,,,,,,,
1998,3,California,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,26,,,,,,,,,,
1998,7,California,Food,Salmonella enterica,Enteritidis,Confirmed,Other,32,3,45,0,45,"carnitas, unspecified",,Multiple,,,
1998,10,California,Food,Salmonella enterica,Enteritidis,Confirmed,Long-term care/nursing home/assisted living facility,4,4,86,1,86,"eggs, unspecified",,Eggs,,,
1998,10,California,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,15,1,42,0,42,turkey salad,,Multiple,,,
1998,1,Maryland,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,4,0,2,0,2,"burrito, chicken",,Multiple,,,
1998,9,Vermont,Food,Salmonella enterica,Enteritidis,Confirmed,Caterer,4,0,4,0,4,,,,,,
1998,8,Hawaii,Food,Salmonella enterica,Enteritidis,Confirmed,,38,3,38,0,38,"eggs, other",egg,Eggs,,,
1998,11,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,18,3,19,0,19,"turkey, unspecified",,Turkey,,,
1998,11,West Virginia,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,11,0,17,0,17,,,,,,
1998,10,Ohio,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,3,,3,0,3,,,,,,
1998,4,Florida,Food,Salmonella enterica,Enteritidis,Suspected,Restaurant: Other,4,0,4,0,4,"chicken, buffalo wings",,Multiple,,,
1998,8,New Jersey,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,8,1,1,0,0,,,,,,
1998,7,Arizona,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other;Other,58,11,58,0,58,chile rellenos,egg,Eggs,,,
1998,9,Wyoming,Food,Salmonella enterica,Enteritidis,Confirmed,Unknown,6,0,,0,,,,,,,
1998,2,California,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,10,1,35,0,35,"enchilada, chicken",,Multiple,,,
1998,1,Pennsylvania,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other;Caterer,4,2,5,0,5,"meatballs;pasta, unspecified",,Multiple,,,
1998,9,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,3,0,3,0,3,"eggs, unspecified",,Eggs,,,
1998,9,Nevada,Food,Salmonella enterica,Enteritidis,Confirmed,Caterer,71,4,53,,53,"pasta, unspecified",,Multiple,,,
1998,8,Maryland,Food,Salmonella enterica,Enteritidis,Confirmed,Caterer,16,2,16,,,"canoli, unspecified;cream puff",,Multiple,,,
1998,7,California,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,4,,,,,"chicken, unspecified;mixed vegetables, unspecified",,Multiple,,,
1998,7,Colorado,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,5,0,,0,,,,,,,
1998,4,Utah,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,22,2,21,0,21,"egg rolls;fried rice, unspecified;soup, egg drop",,Multiple,,,
1998,3,Florida,Food,Salmonella enterica,Enteritidis,Suspected,Restaurant: Other,4,0,4,0,4,"chicken, unspecified",,Chicken,,,
